0000000061b01420 <_DllMainCRTStartup>:
    61b01420:	41 57                	push   r15
    61b01a5b:	48 83 64 24 40 00    	and    QWORD PTR [rsp+0x40],0x0
    61b01a61:	89 f1                	mov    ecx,esi
    61b01a63:	48 89 fa             	mov    rdx,rdi
    61b01a66:	41 ff 54 24 30       	call   QWORD PTR [r12+0x30]
    61b01a6b:	85 c0                	test   eax,eax
    61b01a6d:	78 2f                	js     61b01a9e <_DllMainCRTStartup+0x67e>
    61b01a6f:	48 8b 4c 24 40       	mov    rcx,QWORD PTR [rsp+0x40]
    61b01a74:	41 ff 54 24 28       	call   QWORD PTR [r12+0x28]
    61b01a79:	48 89 c1             	mov    rcx,rax
    61b01a7c:	e8 ed 05 00 00       	call   61b0206e <_ZN8resolver4hash13fnv1a_32_hash17h7c9270a4df1e6101E>
    61b01a81:	3d 4f 2b cc da       	cmp    eax,0xdacc2b4f
    61b01a86:	74 1b                	je     61b01aa3 <_DllMainCRTStartup+0x683>
    61b01a88:	48 8b 4c 24 40       	mov    rcx,QWORD PTR [rsp+0x40]
    61b01a8d:	41 ff 54 24 20       	call   QWORD PTR [r12+0x20]
    61b01a92:	81 fe fe ff 00 00    	cmp    esi,0xfffe
    61b01a98:	0f 87 2f 02 00 00    	ja     61b01ccd <_DllMainCRTStartup+0x8ad>
    61b01a9e:	83 c6 04             	add    esi,0x4
    61b01aa1:	eb b8                	jmp    61b01a5b <_DllMainCRTStartup+0x63b>
    61b01aa3:	48 8b 4c 24 40       	mov    rcx,QWORD PTR [rsp+0x40]
    61b01aa8:	48 8d 54 24 68       	lea    rdx,[rsp+0x68]
    61b01aad:	4c 89 62 e0          	mov    QWORD PTR [rdx-0x20],r12
    61b01ab1:	48 89 4a e8          	mov    QWORD PTR [rdx-0x18],rcx
    61b01ab5:	48 83 62 f0 00       	and    QWORD PTR [rdx-0x10],0x0
    61b01aba:	48 83 62 f8 00       	and    QWORD PTR [rdx-0x8],0x0
    61b01abf:	48 83 62 30 00       	and    QWORD PTR [rdx+0x30],0x0
    61b01ac4:	48 83 62 38 00       	and    QWORD PTR [rdx+0x38],0x0
    61b01ac9:	41 ff 14 24          	call   QWORD PTR [r12]
    61b01acd:	4c 8d 74 24 48       	lea    r14,[rsp+0x48]
    61b01ad2:	b9 0c 00 00 00       	mov    ecx,0xc
    61b01ad7:	48 89 df             	mov    rdi,rbx
    61b01ada:	4c 89 f6             	mov    rsi,r14
    61b01add:	f3 48 a5             	rep movs QWORD PTR es:[rdi],QWORD PTR ds:[rsi]
    61b01ae0:	48 8d 84 24 68 01 00 	lea    rax,[rsp+0x168]
    61b01ae7:	00 
    61b01ae8:	b9 0c 00 00 00       	mov    ecx,0xc
    61b01aed:	48 89 c7             	mov    rdi,rax
    61b01af0:	48 89 de             	mov    rsi,rbx
    61b01af3:	f3 48 a5             	rep movs QWORD PTR es:[rdi],QWORD PTR ds:[rsi]
    61b01af6:	48 8d bc 24 a8 00 00 	lea    rdi,[rsp+0xa8]
    61b01afd:	00 
    61b01afe:	b9 0c 00 00 00       	mov    ecx,0xc
    61b01b03:	48 89 c6             	mov    rsi,rax
    61b01b06:	f3 48 a5             	rep movs QWORD PTR es:[rdi],QWORD PTR ds:[rsi]
    61b01b09:	48 8d 74 24 38       	lea    rsi,[rsp+0x38]
    61b01b0e:	48 8b 84 24 f8 00 00 	mov    rax,QWORD PTR [rsp+0xf8]
    61b01b15:	00 
    61b01b16:	48 85 c0             	test   rax,rax
    61b01b19:	74 0a                	je     61b01b25 <_DllMainCRTStartup+0x705>
    61b01b1b:	48 8b 8c 24 00 01 00 	mov    rcx,QWORD PTR [rsp+0x100]
    61b01b22:	00 
    61b01b23:	eb 53                	jmp    61b01b78 <_DllMainCRTStartup+0x758>
    61b01b25:	83 a4 24 08 01 00 00 	and    DWORD PTR [rsp+0x108],0x0
    61b01b2c:	00 
    61b01b2d:	48 8b 84 24 a8 00 00 	mov    rax,QWORD PTR [rsp+0xa8]
    61b01b34:	00 
    61b01b35:	48 89 5c 24 20       	mov    QWORD PTR [rsp+0x20],rbx
    61b01b3a:	48 c7 c1 ff ff ff ff 	mov    rcx,0xffffffffffffffff
    61b01b41:	31 d2                	xor    edx,edx
    61b01b43:	4d 89 f0             	mov    r8,r14
    61b01b46:	41 b9 30 00 00 00    	mov    r9d,0x30
    61b01b4c:	ff 50 38             	call   QWORD PTR [rax+0x38]
    61b01b4f:	85 c0                	test   eax,eax
    61b01b51:	78 7a                	js     61b01bcd <_DllMainCRTStartup+0x7ad>
    61b01b53:	48 8b 4c 24 50       	mov    rcx,QWORD PTR [rsp+0x50]
    61b01b58:	48 8b 41 18          	mov    rax,QWORD PTR [rcx+0x18]
    61b01b5c:	48 8b 40 10          	mov    rax,QWORD PTR [rax+0x10]
    61b01b60:	48 89 84 24 f8 00 00 	mov    QWORD PTR [rsp+0xf8],rax
    61b01b67:	00 
    61b01b68:	48 8b 49 18          	mov    rcx,QWORD PTR [rcx+0x18]
    61b01b6c:	48 8b 49 10          	mov    rcx,QWORD PTR [rcx+0x10]
    61b01b70:	48 89 8c 24 00 01 00 	mov    QWORD PTR [rsp+0x100],rcx
    61b01b77:	00 
    61b01b78:	48 8b 09             	mov    rcx,QWORD PTR [rcx]
    61b01b7b:	48 89 8c 24 00 01 00 	mov    QWORD PTR [rsp+0x100],rcx
    61b01b82:	00 
    61b01b83:	48 39 c1             	cmp    rcx,rax
    61b01b86:	74 45                	je     61b01bcd <_DllMainCRTStartup+0x7ad>
    61b01b88:	48 8b 79 60          	mov    rdi,QWORD PTR [rcx+0x60]
    61b01b8c:	48 85 ff             	test   rdi,rdi
    61b01b8f:	74 3c                	je     61b01bcd <_DllMainCRTStartup+0x7ad>
    61b01b91:	48 8b 41 30          	mov    rax,QWORD PTR [rcx+0x30]
    61b01b95:	8b 49 40             	mov    ecx,DWORD PTR [rcx+0x40]
    61b01b98:	83 64 24 48 00       	and    DWORD PTR [rsp+0x48],0x0
    61b01b9d:	89 4c 24 4c          	mov    DWORD PTR [rsp+0x4c],ecx
    61b01ba1:	48 89 44 24 50       	mov    QWORD PTR [rsp+0x50],rax
    61b01ba6:	48 89 f1             	mov    rcx,rsi
    61b01ba9:	4c 89 f2             	mov    rdx,r14
    61b01bac:	41 b8 10 00 00 00    	mov    r8d,0x10
    61b01bb2:	e8 11 04 00 00       	call   61b01fc8 <_ZN50_$LT$nttdi..TdiSocket$u20$as$u20$nttdi..Socket$GT$4send17h36146fad852bdf30E>
    61b01bb7:	48 89 f1             	mov    rcx,rsi
    61b01bba:	48 89 fa             	mov    rdx,rdi
    61b01bbd:	41 b8 64 00 00 00    	mov    r8d,0x64
    61b01bc3:	e8 00 04 00 00       	call   61b01fc8 <_ZN50_$LT$nttdi..TdiSocket$u20$as$u20$nttdi..Socket$GT$4send17h36146fad852bdf30E>
    61b01bc8:	e9 41 ff ff ff       	jmp    61b01b0e <_DllMainCRTStartup+0x6ee>
    61b01bcd:	48 8b 8c 24 c0 00 00 	mov    rcx,QWORD PTR [rsp+0xc0]
    61b01bd4:	00 
    61b01bd5:	48 85 c9             	test   rcx,rcx
    61b01bd8:	74 14                	je     61b01bee <_DllMainCRTStartup+0x7ce>
    61b01bda:	48 8b 84 24 a8 00 00 	mov    rax,QWORD PTR [rsp+0xa8]
    61b01be1:	00 
    61b01be2:	ff 50 18             	call   QWORD PTR [rax+0x18]
    61b01be5:	48 83 a4 24 c0 00 00 	and    QWORD PTR [rsp+0xc0],0x0
    61b01bec:	00 00 
    61b01bee:	48 8d 74 24 48       	lea    rsi,[rsp+0x48]
    61b01bf3:	48 83 a4 24 08 01 00 	and    QWORD PTR [rsp+0x108],0x0
    61b01bfa:	00 00 
    61b01bfc:	48 8b bc 24 a8 00 00 	mov    rdi,QWORD PTR [rsp+0xa8]
    61b01c03:	00 
    61b01c04:	48 8b 94 24 b8 00 00 	mov    rdx,QWORD PTR [rsp+0xb8]
    61b01c0b:	00 
    61b01c0c:	48 89 5c 24 28       	mov    QWORD PTR [rsp+0x28],rbx
    61b01c11:	48 c7 44 24 20 30 00 	mov    QWORD PTR [rsp+0x20],0x30
    61b01c18:	00 00 
    61b01c1a:	48 c7 c1 ff ff ff ff 	mov    rcx,0xffffffffffffffff
    61b01c21:	45 31 c0             	xor    r8d,r8d
    61b01c24:	49 89 f1             	mov    r9,rsi
    61b01c27:	ff 57 40             	call   QWORD PTR [rdi+0x40]
    61b01c2a:	85 c0                	test   eax,eax
    61b01c2c:	78 7f                	js     61b01cad <_DllMainCRTStartup+0x88d>
    61b01c2e:	48 83 bc 24 08 01 00 	cmp    QWORD PTR [rsp+0x108],0x0
    61b01c35:	00 00 
    61b01c37:	74 74                	je     61b01cad <_DllMainCRTStartup+0x88d>
    61b01c39:	48 8b 4c 24 48       	mov    rcx,QWORD PTR [rsp+0x48]
    61b01c3e:	48 8b 54 24 60       	mov    rdx,QWORD PTR [rsp+0x60]
    61b01c43:	48 8d 04 0a          	lea    rax,[rdx+rcx*1]
    61b01c47:	48 89 84 24 b8 00 00 	mov    QWORD PTR [rsp+0xb8],rax
    61b01c4e:	00 
    61b01c4f:	81 7c 24 68 00 10 00 	cmp    DWORD PTR [rsp+0x68],0x1000
    61b01c56:	00 
    61b01c57:	75 9a                	jne    61b01bf3 <_DllMainCRTStartup+0x7d3>
    61b01c59:	41 b8 02 00 00 00    	mov    r8d,0x2
    61b01c5f:	ff 57 10             	call   QWORD PTR [rdi+0x10]
    61b01c62:	48 89 84 24 c0 00 00 	mov    QWORD PTR [rsp+0xc0],rax
    61b01c69:	00 
    61b01c6a:	48 85 c0             	test   rax,rax
    61b01c6d:	74 84                	je     61b01bf3 <_DllMainCRTStartup+0x7d3>
    61b01c6f:	48 8d 54 24 48       	lea    rdx,[rsp+0x48]
    61b01c74:	48 8b 32             	mov    rsi,QWORD PTR [rdx]
    61b01c77:	8b 7a 18             	mov    edi,DWORD PTR [rdx+0x18]
    61b01c7a:	c7 02 01 00 00 00    	mov    DWORD PTR [rdx],0x1
    61b01c80:	89 7a 04             	mov    DWORD PTR [rdx+0x4],edi
    61b01c83:	48 89 72 08          	mov    QWORD PTR [rdx+0x8],rsi
    61b01c87:	4c 8d 74 24 38       	lea    r14,[rsp+0x38]
    61b01c8c:	4c 89 f1             	mov    rcx,r14
    61b01c8f:	41 b8 10 00 00 00    	mov    r8d,0x10
    61b01c95:	e8 2e 03 00 00       	call   61b01fc8 <_ZN50_$LT$nttdi..TdiSocket$u20$as$u20$nttdi..Socket$GT$4send17h36146fad852bdf30E>
    61b01c9a:	4c 89 f1             	mov    rcx,r14
    61b01c9d:	48 89 f2             	mov    rdx,rsi
    61b01ca0:	41 89 f8             	mov    r8d,edi
    61b01ca3:	e8 20 03 00 00       	call   61b01fc8 <_ZN50_$LT$nttdi..TdiSocket$u20$as$u20$nttdi..Socket$GT$4send17h36146fad852bdf30E>
    61b01ca8:	e9 20 ff ff ff       	jmp    61b01bcd <_DllMainCRTStartup+0x7ad>
    61b01cad:	48 8d b4 24 c8 00 00 	lea    rsi,[rsp+0xc8]
    61b01cb4:	00 
    61b01cb5:	48 89 f1             	mov    rcx,rsi
    61b01cb8:	ff 57 08             	call   QWORD PTR [rdi+0x8]
    61b01cbb:	48 8b 46 e0          	mov    rax,QWORD PTR [rsi-0x20]
    61b01cbf:	48 8b 4e e8          	mov    rcx,QWORD PTR [rsi-0x18]
    61b01cc3:	ff 50 20             	call   QWORD PTR [rax+0x20]
    61b01cc6:	31 c0                	xor    eax,eax
    61b01cc8:	e9 12 fb ff ff       	jmp    61b017df <_DllMainCRTStartup+0x3bf>
    61b01ccd:	48 8d bc 24 68 01 00 	lea    rdi,[rsp+0x168]
    61b01cd4:	00 
    61b01cd5:	48 8d b4 24 08 01 00 	lea    rsi,[rsp+0x108]
    61b01cdc:	00 
    61b01cdd:	b9 0c 00 00 00       	mov    ecx,0xc
    61b01ce2:	f3 48 a5             	rep movs QWORD PTR es:[rdi],QWORD PTR ds:[rsi]
    61b01ce5:	ba 25 02 00 c0       	mov    edx,0xc0000225
    61b01cea:	e9 ed fa ff ff       	jmp    61b017dc <_DllMainCRTStartup+0x3bc>

0000000061b01cef <_ZN15reverse_tcp_tdi12recv_handler17h6851ce6da84e2854E>:
    61b01cef:	48 8b 44 24 40       	mov    rax,QWORD PTR [rsp+0x40]
    61b01cf4:	8b 4c 24 28          	mov    ecx,DWORD PTR [rsp+0x28]
    61b01cf8:	48 8b 54 24 30       	mov    rdx,QWORD PTR [rsp+0x30]
    61b01cfd:	89 0a                	mov    DWORD PTR [rdx],ecx
    61b01cff:	48 83 20 00          	and    QWORD PTR [rax],0x0
    61b01d03:	31 c0                	xor    eax,eax
    61b01d05:	c3                   	ret    

0000000061b01d06 <_ZN5ntdef6macros13RtlZeroMemory17hac26330cacaaca8bE>:
    61b01d06:	31 c0                	xor    eax,eax
    61b01d08:	48 39 c2             	cmp    rdx,rax
    61b01d0b:	74 09                	je     61b01d16 <_ZN5ntdef6macros13RtlZeroMemory17hac26330cacaaca8bE+0x10>
    61b01d0d:	c6 04 01 00          	mov    BYTE PTR [rcx+rax*1],0x0
    61b01d11:	48 ff c0             	inc    rax
    61b01d14:	eb f2                	jmp    61b01d08 <_ZN5ntdef6macros13RtlZeroMemory17hac26330cacaaca8bE+0x2>
    61b01d16:	c3                   	ret    

0000000061b01d17 <_ZN5ntdef6macros13RtlCopyMemory17h6c36f05e4e0ef77eE>:
    61b01d17:	45 31 c9             	xor    r9d,r9d
    61b01d1a:	4d 39 c1             	cmp    r9,r8
    61b01d1d:	7d 0d                	jge    61b01d2c <_ZN5ntdef6macros13RtlCopyMemory17h6c36f05e4e0ef77eE+0x15>
    61b01d1f:	42 8a 04 0a          	mov    al,BYTE PTR [rdx+r9*1]
    61b01d23:	42 88 04 09          	mov    BYTE PTR [rcx+r9*1],al
    61b01d27:	49 ff c1             	inc    r9
    61b01d2a:	eb ee                	jmp    61b01d1a <_ZN5ntdef6macros13RtlCopyMemory17h6c36f05e4e0ef77eE+0x3>
    61b01d2c:	c3                   	ret    

0000000061b01d2d <_ZN5ntdef6macros15make_single_fea17h1d00ac208787236aE>:
    61b01d2d:	41 56                	push   r14
    61b01d2f:	56                   	push   rsi
    61b01d30:	57                   	push   rdi
    61b01d31:	55                   	push   rbp
    61b01d32:	53                   	push   rbx
    61b01d33:	48 83 ec 20          	sub    rsp,0x20
    61b01d37:	4d 89 ce             	mov    r14,r9
    61b01d3a:	44 89 c3             	mov    ebx,r8d
    61b01d3d:	48 89 d6             	mov    rsi,rdx
    61b01d40:	48 89 cf             	mov    rdi,rcx
    61b01d43:	0f b7 6c 24 70       	movzx  ebp,WORD PTR [rsp+0x70]
    61b01d48:	ba 00 04 00 00       	mov    edx,0x400
    61b01d4d:	e8 b4 ff ff ff       	call   61b01d06 <_ZN5ntdef6macros13RtlZeroMemory17hac26330cacaaca8bE>
    61b01d52:	88 5f 05             	mov    BYTE PTR [rdi+0x5],bl
    61b01d55:	66 89 6f 06          	mov    WORD PTR [rdi+0x6],bp
    61b01d59:	0f b6 db             	movzx  ebx,bl
    61b01d5c:	48 8d 4f 08          	lea    rcx,[rdi+0x8]
    61b01d60:	48 89 f2             	mov    rdx,rsi
    61b01d63:	49 89 d8             	mov    r8,rbx
    61b01d66:	e8 ac ff ff ff       	call   61b01d17 <_ZN5ntdef6macros13RtlCopyMemory17h6c36f05e4e0ef77eE>
    61b01d6b:	4d 85 f6             	test   r14,r14
    61b01d6e:	74 1e                	je     61b01d8e <_ZN5ntdef6macros15make_single_fea17h1d00ac208787236aE+0x61>
    61b01d70:	48 8d 0c 3b          	lea    rcx,[rbx+rdi*1]
    61b01d74:	48 83 c1 09          	add    rcx,0x9
    61b01d78:	44 0f b7 c5          	movzx  r8d,bp
    61b01d7c:	4c 89 f2             	mov    rdx,r14
    61b01d7f:	48 83 c4 20          	add    rsp,0x20
    61b01d83:	5b                   	pop    rbx
    61b01d84:	5d                   	pop    rbp
    61b01d85:	5f                   	pop    rdi
    61b01d86:	5e                   	pop    rsi
    61b01d87:	41 5e                	pop    r14
    61b01d89:	e9 89 ff ff ff       	jmp    61b01d17 <_ZN5ntdef6macros13RtlCopyMemory17h6c36f05e4e0ef77eE>
    61b01d8e:	90                   	nop
    61b01d8f:	48 83 c4 20          	add    rsp,0x20
    61b01d93:	5b                   	pop    rbx
    61b01d94:	5d                   	pop    rbp
    61b01d95:	5f                   	pop    rdi
    61b01d96:	5e                   	pop    rsi
    61b01d97:	41 5e                	pop    r14
    61b01d99:	c3                   	ret    

0000000061b01d9a <_ZN5nttdi9TdiSocket8tdi_open17h876cc1c08ad10637E>:
    61b01d9a:	56                   	push   rsi
    61b01d9b:	57                   	push   rdi
    61b01d9c:	48 81 ec d8 00 00 00 	sub    rsp,0xd8
    61b01da3:	48 89 ce             	mov    rsi,rcx
    61b01da6:	48 b8 5c 00 44 00 65 	movabs rax,0x7600650044005c
    61b01dad:	00 76 00 
    61b01db0:	48 8d 8c 24 90 00 00 	lea    rcx,[rsp+0x90]
    61b01db7:	00 
    61b01db8:	48 89 01             	mov    QWORD PTR [rcx],rax
    61b01dbb:	48 b8 69 00 63 00 65 	movabs rax,0x5c006500630069
    61b01dc2:	00 5c 00 
    61b01dc5:	48 89 41 08          	mov    QWORD PTR [rcx+0x8],rax
    61b01dc9:	48 b8 54 00 63 00 70 	movabs rax,0x7000630054
    61b01dd0:	00 00 00 
    61b01dd3:	48 89 41 10          	mov    QWORD PTR [rcx+0x10],rax
    61b01dd7:	48 8d 7c 24 70       	lea    rdi,[rsp+0x70]
    61b01ddc:	c7 07 16 00 18 00    	mov    DWORD PTR [rdi],0x180016
    61b01de2:	48 89 4f 08          	mov    QWORD PTR [rdi+0x8],rcx
    61b01de6:	48 8d 84 24 a8 00 00 	lea    rax,[rsp+0xa8]
    61b01ded:	00 
    61b01dee:	c7 00 30 00 00 00    	mov    DWORD PTR [rax],0x30
    61b01df4:	48 83 60 08 00       	and    QWORD PTR [rax+0x8],0x0
    61b01df9:	c7 40 18 40 02 00 00 	mov    DWORD PTR [rax+0x18],0x240
    61b01e00:	48 89 78 10          	mov    QWORD PTR [rax+0x10],rdi
    61b01e04:	48 83 60 20 00       	and    QWORD PTR [rax+0x20],0x0
    61b01e09:	48 83 60 28 00       	and    QWORD PTR [rax+0x28],0x0
    61b01e0e:	48 8b 3a             	mov    rdi,QWORD PTR [rdx]
    61b01e11:	4c 89 44 24 48       	mov    QWORD PTR [rsp+0x48],r8
    61b01e16:	c7 44 24 50 00 04 00 	mov    DWORD PTR [rsp+0x50],0x400
    61b01e1d:	00 
    61b01e1e:	83 64 24 40 00       	and    DWORD PTR [rsp+0x40],0x0
    61b01e23:	c7 44 24 38 03 00 00 	mov    DWORD PTR [rsp+0x38],0x3
    61b01e2a:	00 
    61b01e2b:	c7 44 24 30 01 00 00 	mov    DWORD PTR [rsp+0x30],0x1
    61b01e32:	00 
    61b01e33:	48 83 64 24 20 00    	and    QWORD PTR [rsp+0x20],0x0
    61b01e39:	c7 44 24 28 80 00 00 	mov    DWORD PTR [rsp+0x28],0x80
    61b01e40:	00 
    61b01e41:	48 8d 4c 24 60       	lea    rcx,[rsp+0x60]
    61b01e46:	4c 8d 8c 24 80 00 00 	lea    r9,[rsp+0x80]
    61b01e4d:	00 
    61b01e4e:	ba 00 00 10 c0       	mov    edx,0xc0100000
    61b01e53:	49 89 c0             	mov    r8,rax
    61b01e56:	ff 57 10             	call   QWORD PTR [rdi+0x10]
    61b01e59:	85 c0                	test   eax,eax
    61b01e5b:	78 3e                	js     61b01e9b <_ZN5nttdi9TdiSocket8tdi_open17h876cc1c08ad10637E+0x101>
    61b01e5d:	48 8b 4c 24 60       	mov    rcx,QWORD PTR [rsp+0x60]
    61b01e62:	48 8d 44 24 68       	lea    rax,[rsp+0x68]
    61b01e67:	48 83 64 24 28 00    	and    QWORD PTR [rsp+0x28],0x0
    61b01e6d:	48 89 44 24 20       	mov    QWORD PTR [rsp+0x20],rax
    61b01e72:	ba 00 00 00 c0       	mov    edx,0xc0000000
    61b01e77:	45 31 c0             	xor    r8d,r8d
    61b01e7a:	45 31 c9             	xor    r9d,r9d
    61b01e7d:	ff 57 18             	call   QWORD PTR [rdi+0x18]
    61b01e80:	85 c0                	test   eax,eax
    61b01e82:	78 17                	js     61b01e9b <_ZN5nttdi9TdiSocket8tdi_open17h876cc1c08ad10637E+0x101>
    61b01e84:	48 8b 44 24 60       	mov    rax,QWORD PTR [rsp+0x60]
    61b01e89:	48 8b 4c 24 68       	mov    rcx,QWORD PTR [rsp+0x68]
    61b01e8e:	48 89 46 08          	mov    QWORD PTR [rsi+0x8],rax
    61b01e92:	48 89 4e 10          	mov    QWORD PTR [rsi+0x10],rcx
    61b01e96:	83 26 00             	and    DWORD PTR [rsi],0x0
    61b01e99:	eb 09                	jmp    61b01ea4 <_ZN5nttdi9TdiSocket8tdi_open17h876cc1c08ad10637E+0x10a>
    61b01e9b:	89 46 04             	mov    DWORD PTR [rsi+0x4],eax
    61b01e9e:	c7 06 01 00 00 00    	mov    DWORD PTR [rsi],0x1
    61b01ea4:	48 81 c4 d8 00 00 00 	add    rsp,0xd8
    61b01eab:	5f                   	pop    rdi
    61b01eac:	5e                   	pop    rsi
    61b01ead:	c3                   	ret    

0000000061b01eae <_ZN5nttdi9TdiSocket9tdi_ioctl17h9749a15a95b78aeaE>:
    61b01eae:	41 57                	push   r15
    61b01eb0:	41 56                	push   r14
    61b01eb2:	41 54                	push   r12
    61b01eb4:	56                   	push   rsi
    61b01eb5:	57                   	push   rdi
    61b01eb6:	55                   	push   rbp
    61b01eb7:	53                   	push   rbx
    61b01eb8:	48 83 ec 70          	sub    rsp,0x70
    61b01ebc:	4d 89 ce             	mov    r14,r9
    61b01ebf:	45 89 c7             	mov    r15d,r8d
    61b01ec2:	48 89 d3             	mov    rbx,rdx
    61b01ec5:	48 89 ce             	mov    rsi,rcx
    61b01ec8:	48 8b 01             	mov    rax,QWORD PTR [rcx]
    61b01ecb:	48 89 d1             	mov    rcx,rdx
    61b01ece:	ff 50 30             	call   QWORD PTR [rax+0x30]
    61b01ed1:	48 89 c7             	mov    rdi,rax
    61b01ed4:	48 8b 06             	mov    rax,QWORD PTR [rsi]
    61b01ed7:	48 8d 6c 24 58       	lea    rbp,[rsp+0x58]
    61b01edc:	48 89 e9             	mov    rcx,rbp
    61b01edf:	31 d2                	xor    edx,edx
    61b01ee1:	45 31 c0             	xor    r8d,r8d
    61b01ee4:	ff 50 40             	call   QWORD PTR [rax+0x40]
    61b01ee7:	48 8b 06             	mov    rax,QWORD PTR [rsi]
    61b01eea:	48 8d 4c 24 48       	lea    rcx,[rsp+0x48]
    61b01eef:	48 89 4c 24 40       	mov    QWORD PTR [rsp+0x40],rcx
    61b01ef4:	83 64 24 28 00       	and    DWORD PTR [rsp+0x28],0x0
    61b01ef9:	48 89 6c 24 38       	mov    QWORD PTR [rsp+0x38],rbp
    61b01efe:	48 83 64 24 20 00    	and    QWORD PTR [rsp+0x20],0x0
    61b01f04:	c6 44 24 30 01       	mov    BYTE PTR [rsp+0x30],0x1
    61b01f09:	b9 03 00 00 00       	mov    ecx,0x3
    61b01f0e:	48 89 fa             	mov    rdx,rdi
    61b01f11:	45 31 c0             	xor    r8d,r8d
    61b01f14:	45 31 c9             	xor    r9d,r9d
    61b01f17:	ff 50 28             	call   QWORD PTR [rax+0x28]
    61b01f1a:	48 85 c0             	test   rax,rax
    61b01f1d:	0f 84 8c 00 00 00    	je     61b01faf <_ZN5nttdi9TdiSocket9tdi_ioctl17h9749a15a95b78aeaE+0x101>
    61b01f23:	48 89 c5             	mov    rbp,rax
    61b01f26:	48 8b 80 b8 00 00 00 	mov    rax,QWORD PTR [rax+0xb8]
    61b01f2d:	c6 40 bb 00          	mov    BYTE PTR [rax-0x45],0x0
    61b01f31:	48 83 60 f0 00       	and    QWORD PTR [rax-0x10],0x0
    61b01f36:	48 83 60 f8 00       	and    QWORD PTR [rax-0x8],0x0
    61b01f3b:	4c 8b a4 24 d8 00 00 	mov    r12,QWORD PTR [rsp+0xd8]
    61b01f42:	00 
    61b01f43:	4c 8b 84 24 d0 00 00 	mov    r8,QWORD PTR [rsp+0xd0]
    61b01f4a:	00 
    61b01f4b:	48 8b 8d b8 00 00 00 	mov    rcx,QWORD PTR [rbp+0xb8]
    61b01f52:	c6 41 b8 0f          	mov    BYTE PTR [rcx-0x48],0xf
    61b01f56:	44 88 79 b9          	mov    BYTE PTR [rcx-0x47],r15b
    61b01f5a:	48 89 79 e0          	mov    QWORD PTR [rcx-0x20],rdi
    61b01f5e:	48 89 59 e8          	mov    QWORD PTR [rcx-0x18],rbx
    61b01f62:	48 83 c1 c0          	add    rcx,0xffffffffffffffc0
    61b01f66:	4c 89 f2             	mov    rdx,r14
    61b01f69:	e8 a9 fd ff ff       	call   61b01d17 <_ZN5ntdef6macros13RtlCopyMemory17h6c36f05e4e0ef77eE>
    61b01f6e:	4d 85 e4             	test   r12,r12
    61b01f71:	74 04                	je     61b01f77 <_ZN5nttdi9TdiSocket9tdi_ioctl17h9749a15a95b78aeaE+0xc9>
    61b01f73:	4c 89 65 08          	mov    QWORD PTR [rbp+0x8],r12
    61b01f77:	48 8b 06             	mov    rax,QWORD PTR [rsi]
    61b01f7a:	48 89 f9             	mov    rcx,rdi
    61b01f7d:	48 89 ea             	mov    rdx,rbp
    61b01f80:	ff 50 38             	call   QWORD PTR [rax+0x38]
    61b01f83:	3d 03 01 00 00       	cmp    eax,0x103
    61b01f88:	75 19                	jne    61b01fa3 <_ZN5nttdi9TdiSocket9tdi_ioctl17h9749a15a95b78aeaE+0xf5>
    61b01f8a:	48 8b 06             	mov    rax,QWORD PTR [rsi]
    61b01f8d:	48 83 64 24 20 00    	and    QWORD PTR [rsp+0x20],0x0
    61b01f93:	48 8d 4c 24 58       	lea    rcx,[rsp+0x58]
    61b01f98:	31 d2                	xor    edx,edx
    61b01f9a:	45 31 c0             	xor    r8d,r8d
    61b01f9d:	45 31 c9             	xor    r9d,r9d
    61b01fa0:	ff 50 48             	call   QWORD PTR [rax+0x48]
    61b01fa3:	8b 54 24 48          	mov    edx,DWORD PTR [rsp+0x48]
    61b01fa7:	85 d2                	test   edx,edx
    61b01fa9:	78 09                	js     61b01fb4 <_ZN5nttdi9TdiSocket9tdi_ioctl17h9749a15a95b78aeaE+0x106>
    61b01fab:	31 c0                	xor    eax,eax
    61b01fad:	eb 0a                	jmp    61b01fb9 <_ZN5nttdi9TdiSocket9tdi_ioctl17h9749a15a95b78aeaE+0x10b>
    61b01faf:	ba 9a 00 00 c0       	mov    edx,0xc000009a
    61b01fb4:	b8 01 00 00 00       	mov    eax,0x1
    61b01fb9:	48 83 c4 70          	add    rsp,0x70
    61b01fbd:	5b                   	pop    rbx
    61b01fbe:	5d                   	pop    rbp
    61b01fbf:	5f                   	pop    rdi
    61b01fc0:	5e                   	pop    rsi
    61b01fc1:	41 5c                	pop    r12
    61b01fc3:	41 5e                	pop    r14
    61b01fc5:	41 5f                	pop    r15
    61b01fc7:	c3                   	ret    

0000000061b01fc8 <_ZN50_$LT$nttdi..TdiSocket$u20$as$u20$nttdi..Socket$GT$4send17h36146fad852bdf30E>:
    61b01fc8:	41 57                	push   r15
    61b01fca:	41 56                	push   r14
    61b01fcc:	56                   	push   rsi
    61b01fcd:	57                   	push   rdi
    61b01fce:	53                   	push   rbx
    61b01fcf:	48 83 ec 40          	sub    rsp,0x40
    61b01fd3:	44 89 c3             	mov    ebx,r8d
    61b01fd6:	49 89 d7             	mov    r15,rdx
    61b01fd9:	48 89 ce             	mov    rsi,rcx
